"","CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","DOI","ISSN","ISSUE","URL","ABSTRACT","ISBN","AUTHOR.1","JOURNAL.1","NOTE.1","PAGES.1","TITLE.1","VOLUME.1","YEAR.1","DOI.1","ISSN.1","URL.1"
"11","ARTICLE","Diff202011",NA,NA,"Oscar Ramos� Campoy, Albert Lladó, Beatriz Bosch, Iban Aldecoa, Ricardo Gonzalo, Cristina Muñoz, Teresa Ximelis, Guadalupe Fernandez� Villullas, Mircea Balasa, Alex Sanchez� Pla, Raquel Sanchez� Valle, Anna Antonell",NA,NA,NA,NA,"NA",NA,NA,"Alzheimer's & Dementia",NA,"12","SGR2022: YES , PID: YES , HQ: 1 , IF: 21,566 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,NA,NA,NA,NA,"Differential gene expression in genetic and early� onset Alzheimer’s disease in two biological samples: Brain tissue and lymphoblastoid cell lines",NA,"16","2020","10.1002/alz.042671","1552-5260","S2","https://onlinelibrary.wiley.com/doi/10.1002/alz.042671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ARTICLE","Eval201812",NA,NA,"Anna Marco-Ramell, Magali Palau-Rodriguez, Ania Alay, Sara Tulipani, Mireia Urpi-Sarda, Alex Sanchez-Pla, Cristina Andres-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"BMC Bioinformatics",NA,"12","SGR2022: YES , PID: NO , HQ: 1 , IF: 2,511 , Firstauthor: NO , Lastauthor: NO , Bioinf: 1 , Stat_Prob: 0 ,  ,",NA,NA,"1",NA,NA,NA,"Evaluation and comparison of bioinformatic tools for the enrichment analysis of metabolomics data",NA,"19","2018","10.1186/s12859-017-2006-0","1471-2105","1","https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-2006-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ARTICLE","FOBI202013",NA,NA,"Pol Castellano-Escuder, Raúl González-Domínguez, David S Wishart, Cristina Andrés-Lacueva, Alex Sánchez-Pla",NA,NA,NA,NA,"NA",NA,NA,"Database",NA,"1","SGR2022: YES , PID: YES , NA , NA , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,NA,NA,NA,NA,"FOBI: an ontology to represent food intake data and associate it with metabolomic data",NA,"2020","2020","10.1093/databa/baaa033","1758-0463",NA,"https://academic.oup.com/database/article/doi/10.1093/databa/baaa033/5857401","<p>Nutrition research can be conducted by using two complementary approaches: (i) traditional self-reporting methods or (ii) via metabolomics techniques to analyze food intake biomarkers in biofluids. However, the complexity and heterogeneity of these two very different types of data often hinder their analysis and integration. To manage this challenge, we have developed a novel ontology that describes food and their associated metabolite entities in a hierarchical way. This ontology uses a formal naming system, category definitions, properties and relations between both types of data. The ontology presented is called FOBI (Food-Biomarker Ontology) and it is composed of two interconnected sub-ontologies. One is a ’Food Ontology’ consisting of raw foods and ‘multi-component foods’ while the second is a ‘Biomarker Ontology’ containing food intake biomarkers classified by their chemical classes. These two sub-ontologies are conceptually independent but interconnected by different properties. This allows data and information regarding foods and food biomarkers to be visualized in a bidirectional way, going from metabolomics to nutritional data or vice versa. Potential applications of this ontology include the annotation of foods and biomarkers using a well-defined and consistent nomenclature, the standardized reporting of metabolomics workflows (e.g. metabolite identification, experimental design) or the application of different enrichment analysis approaches to analyze nutrimetabolomic data. Availability: FOBI is freely available in both OWL (Web Ontology Language) and OBO (Open Biomedical Ontologies) formats at the project’s Github repository (https://github.com/pcastellanoescuder/FoodBiomarkerOntology) and FOBI visualization tool is available in https://polcastellano.shinyapps.io/FOBI_Visualization_Tool/.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ARTICLE","Food202114",NA,NA,"Raúl González� Domínguez, Pol Castellano� Escuder, Francisco Carmona, Sophie Lefèvre� Arbogast, Dorrain Y. Low, Andrea Du Preez, Silvie R. Ruigrok, Claudine Manach, Mireia Urpi� Sarda, Aniko Korosi, Paul J. Lucassen, Ludwig Aigner, Mercè Pall� s, Sandrine Thuret, Cécilia Samieri, Alex Sánchez� Pla, Cristina Andres� Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Molecular Nutrition & Food Research",NA,"12","SGR2022: YES , PID: YES , HQ: 1 , IF: 5,82 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"2100606",NA,NA,NA,"Food and Microbiota Metabolites Associate with Cognitive Decline in Older Subjects: A 12� Year Prospective Study",NA,"65","2021","10.1002/mnfr.202100606","1613-4125","23","https://onlinelibrary.wiley.com/doi/10.1002/mnfr.202100606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ARTICLE","Iden202115",NA,NA,"Sarah Bazzocco, Higinio Dopeso, � gueda Martínez-Barriocanal, Estefanía Anguita, Rocío Nieto, Jing Li, Elia García-Vidal, Valentina Maggio, Paulo Rodrigues, Priscila Guimarães de Marcondes, Simo Schwartz, Lauri A. Aaltonen, Alex Sánchez, John M. Mariadason, Diego Arango",NA,NA,NA,NA,"NA",NA,NA,"Clinical Epigenetics",NA,"12","SGR2022: YES , PID: YES , HQ: 1 , IF: 6,551 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"88",NA,NA,NA,"Identification of ZBTB18 as a novel colorectal tumor suppressor gene through genome-wide promoter hypermethylation analysis",NA,"13","2021","10.1186/s13148-021-01070-0","1868-7075","1","https://clinicalepigeneticsjournal.biomedcentral.com/articles/10.1186/s13148-021-01070-0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BOOK_SECTION","Inte201716",NA,NA,"Ferran Briansó, Teresa García-Berrocoso, Joan Montaner, Alex Sánchez-Pla",NA,NA,NA,NA,"NA",NA,NA,"Extended Abstracts Fall 2015. Trends in Matemathics",NA,NA,"SGR2022: YES , PID: NO , NA , NA , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"21-27",NA,NA,NA,"Integrative Analysis of Transcriptomics and Proteomics Data for the Characterization of Brain Tissue After Ischemic Stroke",NA,NA,"2017","10.1007/978-3-319-55639-0_4",NA,NA,"http://link.springer.com/10.1007/978-3-319-55639-0_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BOOK_SECTION","Inte201717",NA,NA,"Alex Sánchez-Pla, M. Carme Ruíz de Villa, Francesc Carmona, Sarah Bazzoco, Diego Arango del Corro",NA,NA,NA,NA,"NA",NA,NA,"Extended Abstracts Fall 2015. Trends in Matemathics",NA,NA,"SGR2022: YES , PID: NO , NA , NA , Firstauthor: YES , Lastauthor: YES , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"53-57",NA,NA,NA,"Integrative Analysis to Select Genes Regulated by Methylation in a Cancer Colon� Study",NA,NA,"2017","10.1007/978-3-319-55639-0_9",NA,NA,"http://link.springer.com/10.1007/978-3-319-55639-0_9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ARTICLE","Inte202118",NA,NA,"Laura Ramiro, Teresa García-Berrocoso, Ferran Briansó, Leire Goicoechea, Alba Simats, Víctor Llombart, Ricardo Gonzalo, Alexandre Hainard, Elena Martínez-Saez, Francesc Canals, Jean-Charles Sanchez, Alex Sánchez-Pla, Joan Montaner",NA,NA,NA,NA,"NA",NA,NA,"Molecular Neurobiology",NA,"8","SGR2022: YES , PID: YES , HQ: 1 , IF: 5,59 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"4107-4121",NA,NA,NA,"Integrative Multi-omics Analysis to Characterize Human Brain Ischemia",NA,"58","2021","10.1007/s12035-021-02401-1","0893-7648","8","https://link.springer.com/10.1007/s12035-021-02401-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ARTICLE","Matr201719",NA,NA,"Nicolas Fissolo, Béatrice Pignolet, Clara Matute-Blanch, Juan Carlos Triviño, Berta Miró, Miriam Mota, Santiago Perez-Hoyos, Alex Sanchez, Patrick Vermersch, Aurélie Ruet, Jérôme de Sèze, Pierre Labauge, Sandra Vukusic, Caroline Papeix, Laurent Almoyna, Ayman Tourbah, Pierre Clavelou, Thibault Moreau, Jean Pelletier, Christine Lebrun-Frenay, Xavier Montalban, David Brassat, Manuel Comabella",NA,NA,NA,NA,"NA",NA,NA,"Annals of Neurology",NA,"8","SGR2022: YES , PID: NO , HQ: 1 , IF: 10,25 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"186-195",NA,NA,NA,"Matrix metalloproteinase 9 is decreased in natalizumab-treated multiple sclerosis patients at risk for progressive multifocal leukoencephalopathy",NA,"82","2017","10.1002/ana.24987","03645134","2","https://onlinelibrary.wiley.com/doi/10.1002/ana.24987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ARTICLE","Meta201920",NA,NA,"Francisco Madrid-Gambin, Mar Garcia-Aloy, Rosa Vázquez-Fresno, Esteban Vegas-Lozano, Alex Sánchez-Pla, Koichi Misawa, Tadashi Hase, Akira Shimotoyodome, Cristina Andres-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Journal of Agricultural and Food Chemistry",NA,"3","SGR2022: YES , PID: NO , HQ: 1 , IF: 3,571 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"3118-3124",NA,NA,NA,"Metabolic Signature of a Functional High-Catechin Tea after Acute and Sustained Consumption in Healthy Volunteers through <sup>1</sup> H NMR Based Metabolomics Analysis of Urine",NA,"67","2019","10.1021/acs.jafc.8b04198","0021-8561","11","https://pubs.acs.org/doi/10.1021/acs.jafc.8b04198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ARTICLE","Meta201821",NA,NA,"Magali Palau-Rodriguez, Sara Tulipani, Anna Marco-Ramell, Antonio Miñarro, Olga Jáuregui, Alex Sanchez-Pla, Bruno Ramos-Molina, Francisco J. Tinahones, Cristina Andres-Lacueva",NA,NA,NA,NA,"Daniel Monleon",NA,NA,"PLOS ONE",NA,"6","SGR2022: YES , PID: NO , HQ: 2 , IF: 2,776 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"e0198214",NA,NA,NA,"Metabotypes of response to bariatric surgery independent of the magnitude of weight loss",NA,"13","2018","10.1371/journal.pone.0198214","1932-6203","6","https://dx.plos.org/10.1371/journal.pone.0198214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ARTICLE","Micr201722",NA,NA,"Enrique Almanza-Aguilera, Mireia Urpi-Sarda, Rafael Llorach, Rosa Vázquez-Fresno, Mar Garcia-Aloy, Francesc Carmona, Alex Sanchez, Francisco Madrid-Gambin, Ramon Estruch, Dolores Corella, Cristina Andres-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"The Journal of Nutritional Biochemistry",NA,"10","SGR2022: YES , PID: NO , HQ: 1 , IF: 4,414 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"36-43",NA,NA,NA,"Microbial metabolites are associated with a high adherence to a Mediterranean dietary pattern using a 1H-NMR-based untargeted metabolomics approach",NA,"48","2017","10.1016/j.jnutbio.2017.06.001","09552863",NA,"https://linkinghub.elsevier.com/retrieve/pii/S0955286316307938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ARTICLE","Neur201823",NA,NA,"Clara Matute-Blanch, Luisa M Villar, José C � lvarez-Cermeño, Konrad Rejdak, Evgeniy Evdoshenko, Gleb Makshakov, Vladimir Nazarov, Sergey Lapin, Luciana Midaglia, Angela Vidal-Jordana, Jelena Drulovic, Antonio García-Merino, Antonio J Sánchez-López, Eva Havrdova, Albert Saiz, Sara Llufriu, Roberto Alvarez-Lafuente, Ina Schroeder, Uwe K Zettl, Daniela Galimberti, Lluís Ramió-Torrent� , René Robles, Ester Quintana, Harald Hegen, Florian Deisenhammer, Jordi Río, Mar Tintoré, Alex Sánchez, Xavier Montalban, Manuel Comabella",NA,NA,NA,NA,"NA",NA,NA,"Brain",NA,"4","SGR2022: YES , PID: NO , HQ: 1 , IF: 11,814 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"1085-1093",NA,NA,NA,"Neurofilament light chain and oligoclonal bands are prognostic biomarkers in radiologically isolated syndrome",NA,"141","2018","10.1093/brain/awy021","0006-8950","4","https://academic.oup.com/brain/article/141/4/1085/4858419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ARTICLE","NLRP202024",NA,NA,"Sunny Malhotra, Carme Costa, Herena Eixarch, Christian W Keller, Lukas Amman, Helios Martínez-Banaclocha, Luciana Midaglia, Eduard Sarró, Isabel Machín-Díaz, Luisa M Villar, Juan Carlos Triviño, Begoña Oliver-Martos, Laura Navarro Parladé, Laura Calvo-Barreiro, Fuencisla Matesanz, Koen Vandenbroeck, Elena Urcelay, María-Luisa Martínez-Ginés, Amalia Tejeda-Velarde, Nicolás Fissolo, Joaquín Castilló, Alex Sanchez, Avril A B Robertson, Diego Clemente, Marco Prinz, Pablo Pelegrin, Jan D Lünemann, Carmen Espejo, Xavier Montalban, Manuel Comabella",NA,NA,NA,NA,"NA",NA,NA,"Brain",NA,"5","SGR2022: YES , PID: NO , HQ: 1 , IF: 13,501 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"1414-1430",NA,NA,NA,"NLRP3 inflammasome as prognostic factor and therapeutic target in primary progressive multiple sclerosis patients",NA,"143","2020","10.1093/brain/awaa084","0006-8950","5","https://academic.oup.com/brain/article/143/5/1414/5819591","<p>Primary progressive multiple sclerosis is a poorly understood disease entity with no specific prognostic biomarkers and scarce therapeutic options. We aimed to identify disease activity biomarkers in multiple sclerosis by performing an RNA sequencing approach in peripheral blood mononuclear cells from a discovery cohort of 44 untreated patients with multiple sclerosis belonging to different clinical forms and activity phases of the disease, and 12 healthy control subjects. A validation cohort of 58 patients with multiple sclerosis and 26 healthy control subjects was included in the study to replicate the RNA sequencing findings. The RNA sequencing revealed an interleukin 1 beta (IL1B) signature in patients with primary progressive multiple sclerosis. Subsequent immunophenotyping pointed to blood monocytes as responsible for the IL1B signature observed in this group of patients. Functional experiments at baseline measuring apoptosis-associated speck-like protein containing a CARD (ASC) speck formation showed that the NOD-leucine rich repeat and pyrin containing protein 3 (NLRP3) inflammasome was overactive in monocytes from patients with primary progressive multiple sclerosis, and canonical NLRP3 inflammasome activation with a combination of ATP plus lipopolysaccharide was associated with increased IL1B production in this group of patients. Primary progressive multiple sclerosis patients with high IL1B gene expression levels in peripheral blood mononuclear cells progressed significantly faster compared to patients with low IL1B levels based on the time to reach an EDSS of 6.0 and the Multiple Sclerosis Severity Score. In agreement with peripheral blood findings, both NLRP3 and IL1B expression in brain tissue from patients with primary progressive multiple sclerosis was mainly restricted to cells of myeloid lineage. Treatment of mice with a specific NLRP3 inflammasome inhibitor attenuated established experimental autoimmune encephalomyelitis disease severity and improved CNS histopathology. NLRP3 inflammasome-specific inhibition was also effective in reducing axonal damage in a model of lipopolysaccharide-neuroinflammation using organotypic cerebellar cultures. Altogether, these results point to a role of IL1B and the NLRP3 inflammasome as prognostic biomarker and potential therapeutic target, respectively, in patients with primary progressive multiple sclerosis.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ARTICLE","Non-201925",NA,NA,"M. Urpi-Sarda, E. Almanza-Aguilera, R. Llorach, R. Vázquez-Fresno, R. Estruch, D. Corella, J.V. Sorli, F. Carmona, A. Sanchez-Pla, J. Salas-Salvadó, C. Andres-Lacueva",NA,NA,NA,NA,"NA",NA,NA,"Diabetes & Metabolism",NA,"4","SGR2022: YES , PID: NO , HQ: 1 , IF: 4,731 , Firstauthor: NO , Lastauthor: NO , Bioinf: 0 , Stat_Prob: 0 ,  ,",NA,NA,"167-174",NA,NA,NA,"Non-targeted metabolomic biomarkers and metabotypes of type 2 diabetes: A cross-sectional study of PREDIMED trial participants",NA,"45","2019","10.1016/j.diabet.2018.02.006","12623636","2","https://linkinghub.elsevier.com/retrieve/pii/S1262363618300466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
